PatternConfig Name,Benchmark,Profiler,MemCellType,Cache Level,Design Target,Capacity,Word Width (bits),Optimization Target,Total Reads,Total Writes,Total Read Latency (ms),Total Write Latency (ms),Total Latency (ms),Total Read Energy (mJ),Total Write Energy (mJ),Total Energy (mJ),Total Dynamic Read Power (mW),Total Dynamic Write Power (mW),Total Power (mW),Read Bandwidth Usage (%),Write Bandwidth Usage (%),Cache Hit Latency (ns),Cache Miss Latency (ns),Cache Write Latency (ns),Cache Hit Energy (nJ),Cache Miss Energy (nJ),Cache Write Energy (nJ),Leakage Power (mW),Total Area (mm^2)
memsyspatternconfig_roms_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,39696,35125553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_wrf_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,2475478,3772730,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_roms_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,1152980,20175938,46.04748813719782,837.0561168558708,883.1036049930685,0.1776028291723083,1.7749017339707096,1.952504563143018,13298.601959738551,132901.66484243426,146201.61872446095,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_x264_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,2526461,1522659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_cam4_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,274904,7861112,10.979061804080064,326.1405682793577,337.11963008343776,0.0423456852250553,0.6915515561030149,0.7338972413280702,2045.68527657272,33408.28773444517,35455.32493330604,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_bwaves_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,7534246,16845409,300.90123272539864,698.8796577581145,999.7808904835132,1.1605608122258388,1.4819110587842703,2.642471871010109,83313.76972188363,106382.70343031372,189697.8250744855,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_exchange2_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,547,1263,0.0218459782572526,0.0523991437517782,0.0742451220090309,8.425883151247436e-05,0.000111107641687,0.0001953664731995,3.3384377951770814,4.402220440076593,9.092580523398125,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_deepsjeng_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,5944,15574610,0.2373903012086106,646.1569503308651,646.3943406320737,0.0009156023665633,1.37011732960904,1.3710329319756032,182.0283034917179,272389.131134998,272572.51136077783,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_exchange2_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,530,1263,0.0211670356057475,0.0523991437517782,0.0735661793575258,8.164018409800989e-05,0.000111107641687,0.0001927478257851,3.019014277716511,4.108706519010913,8.479643084871874,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_cactuBSSN_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,134741,3338341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_lbm_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,12288371,64084740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_perlbench_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,800264,624324,31.96078600376978,25.90185512564148,57.86264112941126,0.1232711326169996,0.0549225394209443,0.1781936720379439,421.1848987689487,187.65580971837335,610.1926307754666,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_fotonik3d_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,1605,40845,0.0641001738626884,1.6945708840390985,1.758671057901787,0.000247231123542,0.0035931841842512,0.0038404153077933,9.930157189303392,144.32197390252807,155.6040533799759,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_nab_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,407803,290226,16.286755888925814,12.040850272766102,28.32760616169192,0.062817192444756,0.0255315331878687,0.0883487256326248,328.37349289985303,133.46471572033576,463.1901309083332,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_fotonik3d_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,8085,52510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35192228814445,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_mcf_s_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,26930345,1110034,1075.5388141322007,46.05291459648566,1121.5917287286863,4.14829872381683,0.0976510371595334,4.245949760976363,30604.81263513568,720.4379180157987,31326.60247543962,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_imagick_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,399560,746234,15.957548578551894,30.959637876852312,46.917186455404206,0.0615474565249072,0.0656471099657373,0.1271945664906445,5674.145526404281,6052.098272862296,11727.59572155472,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
memsyspatternconfig_leela_r_l3,core_0,sniper,MRAM (Magnetoresistive),,cache,8MB,128,ReadDynamicEnergy,9052,70374,0.3615169930249568,2.9196653542261606,3.281182347251117,0.0013943527291607,0.0061908861251682,0.0075852388543289,4.444846300014113,19.73499008663741,25.531758674795974,0,0,39.93780302971242,25.594313502237807,41.487841450339054,0.1540380832037922,0.1540380832037922,0.0879712127372075,1.35192228814445,4.755276544672979
