PatternConfig Name,Benchmark,Profiler,MemCellType,Cache Level,Design Target,Capacity,Word Width (bits),Optimization Target,Total Reads,Total Writes,Total Hits,Total Misses,Total Read Latency (ms),Total Write Latency (ms),Total Hit Latency (ms),Total Miss Latency (ms),Total Latency (ms),Total Read Energy (mJ),Total Write Energy (mJ),Total Hit Energy (mJ),Total Miss Energy (mJ),Total Energy (mJ),Cache Hit Latency (ns),Cache Miss Latency (ns),Cache Write Latency (ns),Cache Hit Energy (nJ),Cache Miss Energy (nJ),Cache Write Energy (nJ),Leakage Power (mW),Total Area (mm^2)
memsyspatternconfig_nab_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,5934,260972,0,0,0.0,58.469963179089376,0.0,0.0,58.469963179089376,0.0,0.35596270790516404,0.0,0.0,0.35596270790516404,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_exchange2_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,530,1263,1793,0,0.08566634076433266,0.2829712133684452,0.08566634076433266,0.0,0.3686375541327779,0.0036776368704309285,0.001722716996782115,0.0036776368704309285,0.0,0.005400353867213044,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_cam4_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,275043,7861137,0,0,0.0,1761.2632425539027,0.0,0.0,1761.2632425539027,0.0,10.722497485299103,0.0,0.0,10.722497485299103,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_pop2_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,4030087,22946208,0,0,0.0,5141.026381603107,0.0,0.0,5141.026381603107,0.0,31.298355133252368,0.0,0.0,31.298355133252368,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_xalancbmk_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,6109886,337361,0,0,0.0,75.58468053301033,0.0,0.0,75.58468053301033,0.0,0.4601563964777602,0.0,0.0,0.4601563964777602,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_perlbench_r_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,799301,620770,1420071,0,67.8484585585871,139.08158362844793,67.8484585585871,0.0,206.93004218703504,2.91271916800319,0.8467229058530749,2.91271916800319,0.0,3.759442073856265,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_specrand_fr_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,8,13,21,0,0.001003342529866696,0.002912609480435303,0.001003342529866696,0.0,0.003915952010301999,4.307327065200753e-05,1.7731845572579173e-05,4.307327065200753e-05,0.0,6.08051162245867e-05,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_specrand_ir_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,WriteEDP,8,12,20,0,0.0009555643141587581,0.002688562597324895,0.0009555643141587581,0.0,0.0036441269114836534,4.102216252572146e-05,1.6367857451611545e-05,4.102216252572146e-05,0.0,5.7390019977333004e-05,4.77782157079379,2.46659756528098,22.40468831104079,0.20511081262860728,0.20511081262860728,0.13639881209676286,56.03078327529401,2.5968849316344684
memsyspatternconfig_omnetpp_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,ReadLatency,6789,2448,9237,0,0.3215628434807102,0.523443510166077,0.3215628434807102,0.0,0.8450063536467872,0.04227508840782078,0.00764991385964019,0.04227508840782078,0.0,0.049925002267460966,3.481247628891525,2.3291048104245182,21.382496330313604,0.45767119636051506,0.45767119636051506,0.31249648119445217,64.87113115628527,4.471910063037782
memsyspatternconfig_deepsjeng_s_l3,core_0,sniper,RRAM (Memristor),N/A,cache,8MB,128,ReadLatency,5824,15574569,15580393,0,542.3920618844811,3330.23164488716,542.3920618844811,0.0,3872.623706771641,71.30697104076995,48.66998008620198,71.30697104076995,0.0,119.97695112697193,3.481247628891525,2.3291048104245182,21.382496330313604,0.45767119636051506,0.45767119636051506,0.31249648119445217,64.87113115628527,4.471910063037782
